ticker,sector,industry,source,fetched_at
A,Healthcare,Diagnostics & Research,yfinance,2025-12-06 00:00:00
AA,Basic Materials,Aluminum,yfinance,2025-12-06 00:00:00
AACB,Financial Services,Shell Companies,yfinance,2025-12-06 00:00:00
AACBR,Unknown,Unknown,yfinance,2025-12-06 00:00:00
AACBU,Financial Services,Shell Companies,yfinance,2025-12-06 00:00:00
AACG,Consumer Defensive,Education & Training Services,yfinance,2025-12-06 00:00:00
AAL,Industrials,Airlines,yfinance,2025-12-06 00:00:00
AAM,Financial Services,Shell Companies,yfinance,2025-12-06 00:00:00
AAME,Financial Services,Insurance - Life,yfinance,2025-12-06 00:00:00
AAMI,Financial Services,Asset Management,yfinance,2025-12-06 00:00:00
AAOI,Technology,Communication Equipment,yfinance,2025-12-06 00:00:00
AAON,Industrials,Building Products & Equipment,yfinance,2025-12-06 00:00:00
AAP,Consumer Cyclical,Auto Parts,yfinance,2025-12-06 00:00:00
AAPG,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
AAPL,Technology,Consumer Electronics,yfinance,2025-12-06 00:00:00
AARD,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
AAT,Real Estate,REIT - Diversified,yfinance,2025-12-06 00:00:00
AAUC,Basic Materials,Gold,yfinance,2025-12-06 00:00:00
AB,Financial Services,Asset Management,yfinance,2025-12-06 00:00:00
ABAT,Industrials,Waste Management,yfinance,2025-12-06 00:00:00
ABBV,Healthcare,Drug Manufacturers - General,yfinance,2025-12-06 00:00:00
ABCB,Financial Services,Banks - Regional,yfinance,2025-12-06 00:00:00
ABCL,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABEO,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABEV,Consumer Defensive,Beverages - Brewers,yfinance,2025-12-06 00:00:00
ABG,Consumer Cyclical,Auto & Truck Dealerships,yfinance,2025-12-06 00:00:00
ABL,Financial Services,Insurance - Life,yfinance,2025-12-06 00:00:00
ABLLL,Unknown,Unknown,yfinance,2025-12-06 00:00:00
ABLV,Consumer Cyclical,Specialty Retail,yfinance,2025-12-06 00:00:00
ABLVW,Consumer Cyclical,Specialty Retail,yfinance,2025-12-06 00:00:00
ABM,Industrials,Specialty Business Services,yfinance,2025-12-06 00:00:00
ABNB,Consumer Cyclical,Travel Services,yfinance,2025-12-06 00:00:00
ABOS,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABP,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABPWW,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABR,Real Estate,REIT - Mortgage,yfinance,2025-12-06 00:00:00
ABSI,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABT,Healthcare,Medical Devices,yfinance,2025-12-06 00:00:00
ABTC,Financial Services,Capital Markets,yfinance,2025-12-06 00:00:00
ABTS,Financial Services,Capital Markets,yfinance,2025-12-06 00:00:00
ABUS,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABVC,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ABVE,Consumer Defensive,Packaged Foods,yfinance,2025-12-06 00:00:00
ABVEW,Consumer Defensive,Packaged Foods,yfinance,2025-12-06 00:00:00
ABVX,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ACA,Industrials,Engineering & Construction,yfinance,2025-12-06 00:00:00
ACAD,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ACB,Healthcare,Drug Manufacturers - Specialty & Generic,yfinance,2025-12-06 00:00:00
ACCL,Industrials,Consulting Services,yfinance,2025-12-06 00:00:00
ACCO,Industrials,Business Equipment & Supplies,yfinance,2025-12-06 00:00:00
ACCS,Communication Services,Advertising Agencies,yfinance,2025-12-06 00:00:00
ACDC,Energy,Oil & Gas Equipment & Services,yfinance,2025-12-06 00:00:00
ACEL,Consumer Cyclical,Gambling,yfinance,2025-12-06 00:00:00
ACET,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
ACFN,Technology,Scientific & Technical Instruments,yfinance,2025-12-06 00:00:00
ACGL,Financial Services,Insurance - Diversified,yfinance,2025-12-06 00:00:00
ACGLN,Financial Services,Insurance - Diversified,yfinance,2025-12-06 00:00:00
ACGLO,Financial Services,Insurance - Diversified,yfinance,2025-12-06 00:00:00
ACHC,Healthcare,Medical Care Facilities,yfinance,2025-12-06 00:00:00
ACHR,Industrials,Aerospace & Defense,yfinance,2025-12-06 00:00:00
ACHV,Healthcare,Biotechnology,yfinance,2025-12-06 00:00:00
