feature,gain,split
industry,11096.039388034493,847
sector,1474.580469172448,171
breakout_strength_52w,837.1235526371747,338
sharpe_tstat_252d,378.53627484478056,500
hv_contraction_z_252d,365.4738112874329,515
atr_z_252d,291.2468940075487,371
du_cur_z_252d,249.28188036940992,324
off_ath_z_252d,214.3757257591933,189
pos_in_range_z_252d,201.56727793626487,238
up_down_vol_ratio_z_252d,189.8476606309414,352
ret_skew_63d,161.13341112993658,339
ret_kurt_63d,147.74906807020307,305
dd_alltime_z_252d,101.934459913522,150
ret_z_252d,99.7619343958795,223
dollar_vol_z_252d,96.17215923778713,186
price_ma_ratio_z_252d,88.57382843829691,153
dd_cur_z_252d,74.4155473895371,165
stability_z_252d,65.6423054356128,168
atr_z_63d,61.61930604465306,162
price_ma_ratio_z_63d,33.1167109310627,94
up_down_vol_ratio_z_63d,32.922828022390604,108
dollar_vol_z_63d,31.94306225515902,80
pos_in_range_z_63d,26.620753962546587,88
ret_z_63d,24.56492580473423,75
volume_pctile_252d,19.808074433356524,52
rsi_pctile_252d,12.269980359822512,43
volume_pctile_63d,7.257285242900252,27
price_ma_ratio_z_21d,2.160343760624528,18
ret_z_21d,1.6768248192965984,13
