feature,gain,split
industry,12058.24871048145,1578
sector,3038.5376288816333,216
breakout_strength_52w,1936.9015136230737,569
sharpe_tstat_252d,1700.347136611119,898
hv_contraction_z_252d,1363.1335895042866,994
pos_in_range_z_252d,864.2894336935133,425
up_down_vol_ratio_z_252d,647.9289983771741,834
atr_z_252d,530.3716366700828,582
ret_kurt_63d,511.1714577078819,632
ret_skew_63d,352.18341016210616,576
ret_z_252d,330.01467487961054,516
du_cur_z_252d,323.864293448627,452
dd_cur_z_252d,234.01021677069366,280
off_ath_z_252d,197.30801837705076,283
stability_z_252d,182.96871417202055,343
dd_alltime_z_252d,178.81227623671293,246
dollar_vol_z_252d,145.30773921310902,280
up_down_vol_ratio_z_63d,120.9145835917443,263
price_ma_ratio_z_252d,99.73495729640126,215
atr_z_63d,94.98698664829135,216
ret_z_63d,58.78614281117916,177
pos_in_range_z_63d,50.04569594189525,138
price_ma_ratio_z_63d,35.03455935977399,130
dollar_vol_z_63d,33.923235945403576,92
rsi_pctile_252d,33.10119129344821,101
volume_pctile_252d,26.051672507077456,82
volume_pctile_63d,8.024130076169968,23
ret_z_21d,5.833309046924114,25
price_ma_ratio_z_21d,3.7189011834561825,20
